City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
Punta Arenas,CL,-53.15,-70.9167,44.71,76,0,12.66,clear sky
Gat,IL,31.61,34.7642,73.4,100,3,4.18,clear sky
Elko,US,41.0002,-115.5012,73.42,22,2,4.0,clear sky
Vanavara,RU,60.34,102.2797,31.68,81,89,2.71,overcast clouds
Westport,US,41.1415,-73.3579,61.56,88,100,20.71,overcast clouds
Kaeo,NZ,-35.1,173.7833,56.91,52,55,13.94,broken clouds
Alihe,CN,50.5667,123.7167,39.63,29,2,7.83,clear sky
Qaanaaq,GL,77.484,-69.3632,5.0,71,18,7.65,few clouds
Talnakh,RU,69.4865,88.3972,31.21,95,100,3.98,overcast clouds
Morant Bay,JM,17.8815,-76.4093,83.82,85,36,7.74,scattered clouds
Hithadhoo,MV,-0.6,73.0833,82.47,74,39,20.38,scattered clouds
Mar Del Plata,AR,-38.0023,-57.5575,60.1,90,0,5.75,clear sky
Rikitea,PF,-23.1203,-134.9692,69.75,61,41,20.22,scattered clouds
Saint-Augustin,CA,51.226,-58.6502,50.11,93,86,5.73,overcast clouds
Leningradskiy,RU,69.3833,178.4167,31.41,90,100,9.73,overcast clouds
Phan Thiet,VN,10.9333,108.1,82.06,75,100,4.94,overcast clouds
Banda Aceh,ID,5.5577,95.3222,79.66,79,100,10.71,light rain
Faya,SA,18.3851,42.4509,68.11,32,2,6.29,clear sky
Laguna,US,38.421,-121.4238,90.43,39,0,6.91,clear sky
Ushuaia,AR,-54.8,-68.3,40.66,87,100,28.77,light intensity drizzle
Namibe,AO,-15.1961,12.1522,62.01,90,50,7.61,scattered clouds
Mataura,NZ,-46.1927,168.8643,45.48,91,93,10.6,light rain
Kapaa,US,22.0752,-159.319,84.18,72,75,11.5,light rain
Cape Town,ZA,-33.9258,18.4232,61.38,76,20,6.91,few clouds
Iquitos,PE,-3.7481,-73.2472,80.64,78,42,2.3,smoke
Hermanus,ZA,-34.4187,19.2345,45.81,83,3,11.83,clear sky
Provideniya,RU,64.3833,-173.3,41.36,100,100,38.01,light intensity shower rain
Jamestown,US,42.097,-79.2353,51.71,68,9,1.01,clear sky
Bambanglipuro,ID,-7.95,110.2833,78.49,80,100,10.63,overcast clouds
Biak,ID,-0.9131,122.8766,84.33,64,99,1.74,light rain
Vostok,RU,46.4856,135.8833,37.8,41,52,13.0,broken clouds
Jiancheng,CN,30.391,104.5491,57.74,87,100,7.72,overcast clouds
Busselton,AU,-33.65,115.3333,57.56,58,95,13.96,overcast clouds
Albany,US,42.6001,-73.9662,53.53,91,59,4.29,broken clouds
Kismayo,SO,-0.3582,42.5454,76.71,87,32,11.56,scattered clouds
Nishihara,JP,26.1842,127.7558,84.25,74,40,11.5,scattered clouds
Severo-Kurilsk,RU,50.6789,156.125,47.05,50,29,11.01,scattered clouds
Hobart,AU,-42.8794,147.3294,58.26,69,75,17.27,broken clouds
Arlit,NE,18.7369,7.3853,87.35,18,1,7.87,clear sky
Galveston,US,29.3669,-94.9669,78.94,74,0,6.91,clear sky
Severnyy,RU,50.677,36.5532,46.44,93,0,8.95,clear sky
Sanmenxia,CN,34.7747,111.1814,48.79,75,100,5.1,overcast clouds
Weatherford,US,32.7593,-97.7972,79.29,34,10,8.66,clear sky
Barrow,US,71.2906,-156.7887,35.62,80,100,12.66,overcast clouds
Vao,NC,-22.6667,167.4833,71.06,59,61,12.59,broken clouds
Thompson,CA,55.7435,-97.8558,28.56,86,75,13.8,broken clouds
Atuona,PF,-9.8,-139.0333,76.91,77,1,18.14,clear sky
Kazerun,IR,29.6195,51.6541,76.84,15,0,7.52,clear sky
Kotelnich,RU,58.3089,48.348,45.88,96,100,3.76,light rain
Muros,ES,42.7762,-9.0603,65.08,82,62,14.18,broken clouds
Rocha,UY,-34.4833,-54.3333,53.92,95,100,7.67,overcast clouds
Biscarrosse,FR,44.3945,-1.1672,64.35,94,100,3.44,overcast clouds
Okhotsk,RU,59.3833,143.3,34.32,42,100,12.86,overcast clouds
Farah,AF,32.5,62.5,59.09,19,0,4.23,clear sky
Castro,BR,-24.7911,-50.0119,59.9,96,100,7.94,overcast clouds
Codrington,AU,-38.2667,141.9667,62.38,83,100,11.9,overcast clouds
Monduli,TZ,-3.3,36.45,59.83,86,98,6.15,overcast clouds
Barela,IN,23.1,80.05,75.34,91,47,5.32,scattered clouds
Hay River,CA,60.8156,-115.7999,48.18,49,20,9.22,few clouds
Zhigansk,RU,66.7697,123.3711,24.71,80,100,25.88,overcast clouds
Puerto Ayora,EC,-0.7393,-90.3518,67.55,93,80,5.99,broken clouds
Tahta,EG,26.7693,31.5021,75.49,44,0,12.57,clear sky
Tubuala,PA,9.5167,-79.0333,79.38,84,100,4.32,overcast clouds
Kodiak,US,57.79,-152.4072,53.11,94,100,12.66,heavy intensity rain
Vaini,TO,-21.2,-175.2,76.6,83,100,8.68,light rain
Santiago Del Estero,AR,-27.7951,-64.2615,64.06,76,94,14.0,overcast clouds
Butembo,CD,0.15,29.2833,56.5,94,95,2.06,light rain
Trairi,BR,-3.2778,-39.2689,78.31,82,26,12.44,scattered clouds
Arraial Do Cabo,BR,-22.9661,-42.0278,69.12,85,100,13.0,overcast clouds
Kaitangata,NZ,-46.2817,169.8464,41.85,86,98,17.38,overcast clouds
Tasiilaq,GL,65.6145,-37.6368,30.36,51,86,6.17,overcast clouds
Bluff,NZ,-46.6,168.3333,45.81,57,97,22.12,overcast clouds
Port Alfred,ZA,-33.5906,26.891,57.18,94,74,1.99,broken clouds
Upernavik,GL,72.7868,-56.1549,19.92,89,100,4.47,overcast clouds
Kommunisticheskiy,RU,61.6789,64.4819,39.78,87,83,4.9,broken clouds
Mitsamiouli,KM,-11.3847,43.2844,74.52,76,5,6.42,clear sky
Isangel,VU,-19.55,169.2667,80.71,78,75,11.5,broken clouds
Mayskiy,RU,47.6931,40.1025,42.21,73,94,5.82,overcast clouds
San Cristobal,VE,7.7669,-72.225,71.78,97,100,1.99,overcast clouds
Forio,IT,40.7342,13.8646,65.93,56,100,4.88,overcast clouds
Solnechnyy,RU,50.7214,136.6319,39.27,33,11,11.99,few clouds
Sao Geraldo Do Araguaia,BR,-6.4006,-48.555,88.54,29,75,3.27,broken clouds
Nikolskoye,RU,59.7035,30.7861,49.91,98,99,7.74,overcast clouds
Qaqortoq,GL,60.7167,-46.0333,33.62,85,18,9.33,few clouds
Adrar,MR,20.5022,-10.0711,88.41,14,1,15.75,clear sky
Dikson,RU,73.5069,80.5464,31.6,86,100,13.04,overcast clouds
Lebu,CL,-37.6167,-73.65,50.88,91,100,10.92,light rain
Pauini,BR,-7.7136,-66.9764,74.71,82,51,1.9,broken clouds
Zyryanka,RU,65.75,150.85,20.48,86,100,27.45,light snow
Sorland,NO,67.667,12.6934,46.26,84,100,34.38,overcast clouds
Tshikapa,CD,-6.4167,20.8,68.94,93,99,3.02,overcast clouds
Tadine,NC,-21.55,167.8833,75.18,55,100,13.67,overcast clouds
Stolin,BY,51.8912,26.846,46.76,88,100,7.78,overcast clouds
San Marcos,US,33.1434,-117.1661,76.95,85,100,5.75,overcast clouds
Clyde River,CA,70.4692,-68.5914,25.03,80,100,19.57,light snow
Kutum,SD,14.2,24.6667,76.15,33,17,4.54,few clouds
Jinchang,CN,38.4953,102.1739,50.45,32,9,9.19,clear sky
Minot,US,48.2325,-101.2963,50.22,71,0,17.27,clear sky
Wewak,PG,-3.5534,143.6268,83.17,77,98,6.73,heavy intensity rain
Vila Velha,BR,-20.3297,-40.2925,75.15,88,40,5.75,scattered clouds
Ayagoz,KZ,47.9714,80.4392,39.7,52,7,8.84,clear sky
Severnoye,RU,56.3491,78.3619,41.43,95,100,0.76,overcast clouds
Sao Filipe,CV,14.8961,-24.4956,78.48,84,88,11.12,overcast clouds
Bredasdorp,ZA,-34.5322,20.0403,48.69,91,1,7.29,clear sky
Fortuna,US,40.5982,-124.1573,59.94,84,33,1.01,scattered clouds
Arinos,BR,-15.9169,-46.1056,77.25,59,98,2.13,overcast clouds
Chokurdakh,RU,70.6333,147.9167,21.4,89,97,8.1,overcast clouds
Lorengau,PG,-2.0226,147.2712,85.5,71,73,12.5,broken clouds
Zaozerne,UA,45.1582,33.2787,57.36,62,90,3.65,overcast clouds
Kenai,US,60.5544,-151.2583,55.49,64,75,17.27,light rain
Pujehun,SL,7.3581,-11.7208,73.58,95,100,0.67,overcast clouds
Goderich,CA,43.7501,-81.7165,59.92,87,100,2.3,overcast clouds
San Joaquin,US,37.9333,-121.3011,89.67,34,0,4.61,clear sky
Saint-Philippe,RE,-21.3585,55.7679,63.99,77,39,11.45,scattered clouds
Nsanje,MW,-16.92,35.262,72.64,71,0,4.14,clear sky
Bilibino,RU,68.0546,166.4372,25.14,93,100,2.77,light snow
Tiksi,RU,71.6872,128.8694,24.51,82,100,16.2,overcast clouds
Chegdomyn,RU,51.1167,133.0167,35.87,41,90,8.48,overcast clouds
Esperance,AU,-33.8667,121.9,57.92,57,12,21.14,few clouds
Pisco,PE,-13.7,-76.2167,60.85,77,0,4.61,clear sky
Assiniboia,CA,49.6334,-105.9845,48.02,57,100,11.5,overcast clouds
Kavieng,PG,-2.5744,150.7967,84.54,71,62,13.29,light rain
Port Elizabeth,ZA,-33.918,25.5701,58.32,87,40,11.01,scattered clouds
Aripuana,BR,-9.1667,-60.6333,80.47,56,70,2.55,broken clouds
Batagay-Alyta,RU,67.8006,130.4114,22.01,76,93,10.47,overcast clouds
Nanyang,CN,32.9947,112.5328,47.5,87,100,5.3,overcast clouds
Noumea,NC,-22.2763,166.4572,78.78,99,100,19.3,overcast clouds
Amurzet,RU,47.6967,131.0981,46.89,30,2,9.1,clear sky
Nantucket,US,41.2835,-70.0995,62.71,95,100,10.36,overcast clouds
Cayenne,GF,4.9333,-52.3333,78.84,89,0,3.44,clear sky
Lejanias,CO,3.5251,-74.0216,69.67,93,66,5.57,broken clouds
Poya,NC,-21.35,165.15,78.64,51,56,9.26,broken clouds
Nemuro,JP,43.3236,145.575,52.41,62,100,19.33,overcast clouds
Mareeba,AU,-17.0,145.4333,85.44,62,67,9.17,broken clouds
Huntsville,US,34.7304,-86.5861,62.4,66,0,1.99,clear sky
Palmer,US,42.1584,-72.3287,59.5,87,100,9.22,overcast clouds
Aasiaat,GL,68.7098,-52.8699,16.29,87,62,7.2,broken clouds
Puerto Carreno,CO,6.189,-67.4859,77.61,85,100,5.14,very heavy rain
Bambous Virieux,MU,-20.3428,57.7575,71.85,73,75,10.36,broken clouds
Khovu-Aksy,RU,51.1333,93.6,37.74,68,100,2.8,overcast clouds
Mnogovershinnyy,RU,53.9353,139.9242,32.0,62,99,15.17,overcast clouds
Wexford,IE,52.3342,-6.4575,52.9,80,8,10.0,clear sky
Simao,CN,22.7886,100.9748,71.67,81,49,2.28,scattered clouds
Ilulissat,GL,69.2167,-51.1,26.62,54,20,5.75,few clouds
Mahebourg,MU,-20.4081,57.7,71.89,73,75,10.36,broken clouds
Pevek,RU,69.7008,170.3133,31.8,95,100,9.8,light snow
Zimapan,MX,20.75,-99.35,56.73,97,93,5.77,overcast clouds
Cartagena,CO,10.3997,-75.5144,82.02,78,40,2.3,scattered clouds
Pitimbu,BR,-7.4706,-34.8086,75.79,86,15,9.51,few clouds
Bereda,ES,43.2686,-7.5406,60.42,100,100,7.43,overcast clouds
Faanui,PF,-16.4833,-151.75,78.24,73,4,25.81,clear sky
Airai,TL,-8.9266,125.4092,74.23,52,94,3.6,overcast clouds
Katsuura,JP,35.1333,140.3,59.02,91,100,22.19,light rain
Kapit,MY,2.0167,112.9333,83.73,74,86,0.58,overcast clouds
Bull Savanna,JM,17.8868,-77.5902,77.67,83,40,3.6,scattered clouds
Khatanga,RU,71.9667,102.5,6.46,99,100,4.05,overcast clouds
Georgetown,MY,5.4112,100.3354,80.89,87,20,4.61,light rain
Norman Wells,CA,65.282,-126.8329,48.24,66,75,8.05,broken clouds
Butaritari,KI,3.0707,172.7902,82.22,72,14,12.59,few clouds
Porangatu,BR,-13.4408,-49.1486,83.7,40,44,3.56,scattered clouds
Samarinda,ID,-0.5,117.15,74.32,97,100,1.59,heavy intensity rain
New Norfolk,AU,-42.7826,147.0587,56.91,61,100,11.65,overcast clouds
Tuyen Quang,VN,21.8233,105.2181,82.98,72,13,0.22,few clouds
Griffith,US,41.5284,-87.4237,67.89,58,0,0.0,clear sky
Lasa,IT,46.6166,10.7002,54.48,78,9,4.12,clear sky
Portland,US,45.5234,-122.6762,71.35,76,20,4.61,few clouds
Fuyang,CN,32.9,115.8167,50.38,94,100,8.52,light rain
Panguna,PG,-6.3164,155.4848,80.29,63,92,4.79,overcast clouds
Tual,ID,-5.6667,132.75,83.03,74,100,8.34,overcast clouds
Carnarvon,AU,-24.8667,113.6333,68.07,34,0,25.32,clear sky
Kruisfontein,ZA,-34.0033,24.7314,52.88,91,3,5.68,clear sky
Myitkyina,MM,25.3833,97.4,76.77,89,58,0.85,broken clouds
Torbay,CA,47.6666,-52.7314,53.28,85,20,19.57,few clouds
Ribeira Grande,PT,38.5167,-28.7,70.65,84,98,5.59,overcast clouds
Predivinsk,RU,57.0669,93.4378,34.57,96,100,8.01,light snow
Aguimes,ES,27.9054,-15.4461,70.66,78,20,20.0,few clouds
Salalah,OM,17.0151,54.0924,77.09,83,0,3.44,clear sky
Vila Franca Do Campo,PT,37.7167,-25.4333,70.2,86,96,11.16,overcast clouds
Grand Gaube,MU,-20.0064,57.6608,72.0,76,8,3.0,clear sky
Povenets,RU,62.8487,34.8262,44.51,92,92,10.78,overcast clouds
Avarua,CK,-21.2078,-159.775,80.65,65,20,19.57,few clouds
Verkhnevilyuysk,RU,63.4453,120.3167,29.44,85,100,9.6,light snow
Farmington,US,36.7281,-108.2187,56.21,88,100,4.61,overcast clouds
Mosquera,CO,4.7059,-74.2302,53.69,94,75,4.61,broken clouds
Khash,IR,28.2211,61.2158,59.86,20,0,2.66,clear sky
Cherskiy,RU,68.75,161.3,29.43,96,100,9.33,light snow
Kasempa,ZM,-13.4584,25.8338,66.31,21,47,8.03,scattered clouds
Margate,GB,51.3813,1.3862,52.3,79,0,3.0,clear sky
Vanimo,PG,-2.6741,141.3028,85.84,68,85,9.91,overcast clouds
Shimoda,JP,34.6667,138.95,59.36,89,100,20.49,overcast clouds
Srandakan,ID,-7.9386,110.2506,78.44,81,100,10.18,overcast clouds
Saldanha,ZA,-33.0117,17.9442,48.25,78,94,2.82,overcast clouds
Bairiki,KI,1.3292,172.9752,86.0,70,40,9.22,scattered clouds
East London,ZA,-33.0153,27.9116,63.61,83,100,10.89,overcast clouds
Chapais,CA,49.7834,-74.8492,58.78,95,99,8.5,overcast clouds
Ust-Tsilma,RU,65.441,52.1498,42.94,96,100,4.92,light rain
Tuktoyaktuk,CA,69.4541,-133.0374,33.8,93,100,14.97,overcast clouds
Hue,VN,16.4667,107.6,77.11,94,75,3.44,broken clouds
Luebo,CD,-5.35,21.4167,69.48,97,97,1.52,light rain
Lincoln,US,40.8,-96.667,66.27,66,0,5.75,clear sky
Banjar,ID,-8.19,114.9675,83.8,74,100,6.31,overcast clouds
Nanortalik,GL,60.1432,-45.2371,37.92,88,36,14.72,scattered clouds
Hilo,US,19.7297,-155.09,82.27,84,75,9.22,broken clouds
Port Lincoln,AU,-34.7333,135.8667,67.51,57,1,8.3,clear sky
Osypenko,UA,46.9136,36.8253,52.68,65,100,5.77,overcast clouds
Khandbari,NP,27.3747,87.2039,71.67,81,100,0.47,overcast clouds
Dabakala,CI,8.3667,-4.4333,71.15,96,96,2.66,light rain
Te Anau,NZ,-45.4167,167.7167,41.86,82,100,2.91,overcast clouds
San Quintin,MX,30.4833,-115.95,68.85,82,59,6.62,broken clouds
Ukiah,US,39.1502,-123.2078,87.69,30,0,3.44,clear sky
San Patricio,US,28.017,-97.5169,80.46,57,7,8.41,clear sky
Ponta Do Sol,PT,32.6667,-17.1,69.71,84,22,6.22,few clouds
Tevaitoa,PF,-16.7833,-151.5,77.74,75,5,25.03,clear sky
Pangnirtung,CA,66.1451,-65.7125,30.52,91,100,3.31,overcast clouds
Pechora,RU,65.1472,57.2244,41.52,94,100,9.28,overcast clouds
Araguacu,BR,-12.9306,-49.8264,86.85,36,69,3.53,broken clouds
Suntar,RU,62.1444,117.6319,31.17,91,100,10.02,light snow
Livani,LV,56.3543,26.1758,46.29,96,5,6.87,clear sky
Soderhamn,SE,61.3037,17.0592,59.95,82,100,18.16,overcast clouds
Quatre Cocos,MU,-20.2078,57.7625,71.71,80,30,15.12,scattered clouds
Pacific Grove,US,36.6177,-121.9166,65.8,92,75,6.91,broken clouds
Voi,KE,-3.3945,38.563,68.7,80,64,8.9,broken clouds
Fort Payne,US,34.4442,-85.7197,61.52,62,3,4.9,clear sky
Garissa,KE,-0.4536,39.6401,75.0,79,79,17.27,broken clouds
Smidovich,RU,48.6,133.8167,42.89,38,1,17.22,clear sky
Najran,SA,17.4924,44.1277,75.85,29,88,0.94,overcast clouds
Andros Town,BS,24.7,-77.7667,78.76,71,23,13.44,few clouds
Kununurra,AU,-15.7667,128.7333,91.38,49,38,8.05,scattered clouds
Deputatskiy,RU,69.3,139.9,12.92,90,100,6.98,overcast clouds
Kralendijk,BQ,12.15,-68.2667,80.58,89,75,13.8,broken clouds
Port Blair,IN,11.6667,92.75,77.04,94,75,1.14,mist
Atambua,ID,-9.1061,124.8925,84.72,56,94,2.17,overcast clouds
Katobu,ID,-4.9408,122.5276,82.62,79,100,3.33,overcast clouds
Hami,CN,42.8,93.45,56.62,29,0,6.62,clear sky
Brae,GB,60.3964,-1.353,50.85,76,63,27.98,broken clouds
Tres Arroyos,AR,-38.3739,-60.2798,55.31,65,100,4.65,overcast clouds
San Ignacio,BZ,17.1561,-89.0714,80.74,83,75,4.61,broken clouds
Autazes,BR,-3.5797,-59.1306,79.84,62,48,2.48,scattered clouds
Yellowknife,CA,62.456,-114.3525,37.92,75,40,15.01,scattered clouds
Tahoua,NE,14.8888,5.2692,85.15,48,41,11.7,scattered clouds
Yulara,AU,-25.2406,130.9889,84.74,17,0,11.3,clear sky
Lavrentiya,RU,65.5833,-171.0,38.77,93,100,34.11,light rain
Dauriya,RU,49.9333,116.8667,35.65,42,7,6.93,clear sky
Barabinsk,RU,55.3571,78.357,44.71,90,100,3.31,overcast clouds
Puerto Del Rosario,ES,28.5004,-13.8627,73.15,73,0,10.36,clear sky
Leh,IN,34.1667,77.5833,44.1,50,0,4.14,clear sky
Yenagoa,NG,4.9247,6.2642,74.46,95,88,3.98,overcast clouds
Marsh Harbour,BS,26.5412,-77.0636,79.52,65,62,11.34,broken clouds
Svetlogorsk,BY,52.6333,29.7333,45.97,94,99,6.87,overcast clouds
Marzuq,YE,14.4,46.4667,70.52,53,25,0.6,scattered clouds
Masvingo,ZW,-20.0637,30.8277,66.29,51,0,5.46,clear sky
Yanam,IN,16.7333,82.2167,78.31,93,100,6.82,overcast clouds
Inuvik,CA,68.3499,-133.7218,36.61,93,100,5.75,overcast clouds
Mayumba,GA,-3.432,10.6554,75.81,90,100,8.41,light rain
Klaksvik,FO,62.2266,-6.589,49.12,81,85,28.16,overcast clouds
Prince Rupert,CA,54.3161,-130.3201,60.89,84,75,10.36,broken clouds
Saint-Georges,GD,12.0564,-61.7485,82.08,83,40,20.71,scattered clouds
Santa Maria Do Suacui,BR,-18.1903,-42.4142,68.83,93,32,1.19,scattered clouds
Moose Factory,CA,51.2585,-80.6094,44.6,100,100,10.36,overcast clouds
Luderitz,NA,-26.6481,15.1594,53.58,77,6,14.12,clear sky
Rincon De La Victoria,ES,36.7172,-4.2758,70.84,85,2,3.8,clear sky
Asau,RO,46.4333,26.4,42.28,78,100,6.02,overcast clouds
Nanga Eboko,CM,4.6833,12.3667,67.05,99,100,1.63,overcast clouds
Aleksandrov Gay,RU,50.147,48.5704,53.37,68,100,6.42,overcast clouds
Olafsvik,IS,64.8945,-23.7142,44.37,71,100,11.92,overcast clouds
Coquimbo,CL,-29.9533,-71.3436,55.13,94,0,2.3,clear sky
Pozo Colorado,PY,-23.4923,-58.7972,74.52,89,50,8.1,scattered clouds
Kyren,RU,51.6828,102.1408,39.04,51,95,1.12,overcast clouds
Sorsk,RU,54.0033,90.2467,32.09,79,100,3.31,overcast clouds
Ixtapa,MX,20.7,-105.2,75.54,93,52,1.21,broken clouds
Birao,CF,10.2849,22.7882,70.66,92,95,3.53,overcast clouds
Sterling,US,39.0062,-77.4286,62.17,86,75,0.0,broken clouds
Hovd,MN,48.0056,91.6419,44.1,25,99,4.72,overcast clouds
Dali,CN,25.7,100.1833,63.97,84,93,5.32,overcast clouds
Sampit,ID,-2.5333,112.95,85.73,70,100,1.81,overcast clouds
Mehamn,NO,71.0357,27.8492,42.75,75,100,14.97,overcast clouds
Hunucma,MX,21.0167,-89.8667,71.38,76,0,4.97,clear sky
Ketchikan,US,55.3422,-131.6461,59.47,94,100,5.75,overcast clouds
Kaliyaganj,IN,25.6333,88.3167,79.65,86,85,4.92,overcast clouds
Hornepayne,CA,49.2138,-84.7705,52.2,97,100,3.69,overcast clouds
Palmeiras De Goias,BR,-16.805,-49.9258,72.48,76,58,3.65,light rain
Drogheda,IE,53.7189,-6.3478,53.19,80,4,19.01,clear sky
Porto Novo,BJ,6.4965,2.6036,75.58,91,86,5.19,overcast clouds
Waingapu,ID,-9.6567,120.2641,86.32,65,90,11.03,overcast clouds
Yeniseysk,RU,58.4497,92.1703,33.82,97,100,8.34,light snow
Maragogi,BR,-9.0122,-35.2225,75.52,90,7,7.25,clear sky
Blackwater,AU,-23.5833,148.8833,80.78,44,41,9.62,scattered clouds
Usogorsk,RU,63.4106,48.6872,42.33,97,100,3.18,overcast clouds
Saint-Francois,FR,46.4154,3.9054,54.68,94,20,2.3,few clouds
Lagoa,PT,39.05,-27.9833,69.03,86,97,17.58,light rain
Verkhoyansk,RU,67.5447,133.385,25.18,87,100,7.34,light snow
Alyangula,AU,-13.8483,136.4192,87.06,59,57,6.98,broken clouds
Kutahya,TR,39.4242,29.9833,45.48,90,85,6.6,overcast clouds
Privolzhsk,RU,57.3808,41.2886,43.47,90,94,7.31,overcast clouds
Geraldton,AU,-28.7667,114.6,63.01,48,100,12.66,overcast clouds
Kuching,MY,1.55,110.3333,77.22,94,40,1.99,light rain
Linxia,CN,35.6003,103.2064,47.5,78,100,1.39,light rain
College,US,64.8569,-147.8028,48.58,71,20,3.44,few clouds
Cabo San Lucas,MX,22.8909,-109.9124,83.52,66,69,3.0,broken clouds
Nenagh,IE,52.8619,-8.1967,51.57,82,70,13.8,broken clouds
Cidreira,BR,-30.1811,-50.2056,63.41,84,100,21.72,overcast clouds
Northam,GB,51.0333,-4.2167,56.25,73,0,15.84,clear sky
Shingu,JP,33.7333,135.9833,66.31,72,100,4.38,overcast clouds
Samarai,PG,-10.6167,150.6667,82.96,76,61,9.78,broken clouds
Ciudad Guayana,VE,8.3533,-62.6528,73.33,97,100,3.31,overcast clouds
Comodoro Rivadavia,AR,-45.8667,-67.5,49.86,62,0,4.61,clear sky
Berdigestyakh,RU,62.0989,126.6992,29.62,88,100,6.85,light snow
Radhanpur,IN,23.8333,71.6,82.67,64,100,7.74,overcast clouds
Kattivakkam,IN,13.2167,80.3167,77.09,79,100,10.98,light rain
Sitka,US,57.0531,-135.33,57.09,100,100,9.22,light rain
Steamboat Springs,US,40.485,-106.8317,56.79,54,0,6.91,clear sky
Gorom-Gorom,BF,14.4439,-0.2361,84.69,47,99,7.16,overcast clouds
Yumen,CN,40.2833,97.2,48.11,40,0,6.26,clear sky
Wanaka,NZ,-44.7,169.15,48.11,47,99,5.01,overcast clouds
Yerofey Pavlovich,RU,53.9667,121.9667,35.42,38,78,4.5,broken clouds
Kahului,US,20.8947,-156.47,86.02,73,0,18.41,clear sky
Saint-Pierre,RE,-21.3393,55.4781,64.08,68,0,5.75,clear sky
Suez,EG,29.9737,32.5263,70.72,88,2,11.39,clear sky
Bengkulu,ID,-3.8004,102.2655,81.46,68,23,1.19,few clouds
Inta,RU,66.0317,60.1659,41.45,95,100,1.79,light rain
Sola,VU,-13.8833,167.55,84.87,74,17,4.61,few clouds
Bethel,US,41.3712,-73.414,59.54,89,100,4.0,overcast clouds
Kozulka,UA,50.0351,23.797,47.64,77,89,7.72,overcast clouds
Korla,CN,41.7597,86.1469,57.2,30,73,3.31,broken clouds
Los Llanos De Aridane,ES,28.6585,-17.9182,73.13,66,0,9.22,clear sky
Bonthe,SL,7.5264,-12.505,76.87,88,100,1.72,overcast clouds
Ferrol,ES,43.4832,-8.2369,61.68,87,44,14.18,scattered clouds
Silifke,TR,36.3778,33.9344,73.26,56,0,8.28,clear sky
Katsina,NG,12.9894,7.6006,76.89,83,0,2.3,clear sky
Maningrida,AU,-12.0667,134.2667,90.46,51,67,10.65,broken clouds
Tilichiki,RU,60.4667,166.1,37.81,72,62,28.14,light rain
Alice Springs,AU,-23.7,133.8833,89.15,40,0,16.11,clear sky
Krasnoselkup,RU,65.7,82.4667,32.59,93,100,4.63,overcast clouds
Vadso,NO,70.0744,29.7487,42.96,81,100,12.66,overcast clouds
Pringsewu,ID,-5.3582,104.9744,79.48,79,97,2.35,overcast clouds
Teixoso,PT,40.3145,-7.4576,53.56,46,17,5.35,few clouds
San Rafael Del Sur,NI,11.8485,-86.4384,79.77,88,100,2.42,overcast clouds
Santa Rosalia,MX,27.3167,-112.2833,78.51,55,0,2.44,clear sky
Yuanping,CN,38.7153,112.7575,51.12,56,62,1.83,broken clouds
Hasaki,JP,35.7333,140.8333,61.29,83,100,26.31,overcast clouds
Saint-Joseph,RE,-21.3667,55.6167,62.98,76,16,11.16,few clouds
Mogadishu,SO,2.0371,45.3438,77.11,87,23,12.55,few clouds
Bandarbeyla,SO,9.4942,50.8122,75.87,88,9,19.26,clear sky
Sabang,ID,5.8933,95.3214,79.92,77,92,9.75,overcast clouds
Marawi,PH,7.9986,124.2928,80.51,66,72,2.66,broken clouds
Tessalit,ML,20.1986,1.0114,86.77,17,7,11.3,clear sky
